-9.143308809;38.70807879;1;Deposito;0;Lixeira;0;0;0
-9.143308809;38.70807879;355;R do Alecrim;356;Lixos;90;1;90
-9.143308809;38.70807879;356;R do Alecrim;357;Lixos;240;7;1680
-9.143308809;38.70807879;357;R do Alecrim;358;Lixos;90;1;90
-9.143308809;38.70807879;358;R do Alecrim;359;Papel e Cartão;240;6;1440
-9.143308809;38.70807879;359;R do Alecrim;368;Papel e Cartão;90;1;90
-9.143377778;38.70807819;368;R do Alecrim;369;Lixos;240;1;240
-9.143377778;38.70807819;369;R do Alecrim;370;Lixos;140;6;840
-9.143377778;38.70807819;370;R do Alecrim;360;Lixos;120;1;120
-9.143377778;38.70807819;360;R do Alecrim;384;Lixos;90;2;180
-9.142622569;38.70669752;384;Tv Corpo Santo;386/385;Lixos;240;4;960
-9.142622569;38.70669752;385;Tv Corpo Santo;386;Papel e Cartão;240;1;240
-9.142408356;38.70699663;386;R Bernardino da Costa;333/387;Lixos;140;3;420
-9.142408356;38.70699663;387;R Bernardino da Costa;333/388;Lixos;240;4;960
-9.142408356;38.70699663;388;R Bernardino da Costa;333/389;Lixos;140;3;420
-9.142408356;38.70699663;389;R Bernardino da Costa;333/390;Lixos;240;4;960
-9.142408356;38.70699663;390;R Bernardino da Costa;333/463;Papel e Cartão;240;1;240
-9.147044252;38.70801938;463;R Moeda;531/464;Lixos;240;9;2160
-9.147044252;38.70801938;464;R Moeda;531/465;Lixos;140;5;700
-9.147044252;38.70801938;465;R Moeda;531/466;Lixos;240;9;2160
-9.147044252;38.70801938;466;R Moeda;531/467;Lixos;140;5;700
-9.146144218;38.70778398;467;Tv Carvalho;494/468;Lixos;90;1;90
-9.146144218;38.70778398;468;Tv Carvalho;494/469;Lixos;90;1;90
-9.145639847;38.70788744;469;Tv Carvalho;467/470;Lixos;90;1;90
-9.145639847;38.70788744;470;Tv Carvalho;467/471;Lixos;140;4;560
-9.145639847;38.70788744;471;Tv Carvalho;467/472;Lixos;240;2;480
-9.145639847;38.70788744;472;Tv Carvalho;467/473;Papel e Cartão;90;1;90
-9.145639847;38.70788744;473;Tv Carvalho;467/474;Papel e Cartão;140;2;280
-9.145988636;38.70816366;474;Tv Carvalho;467/482;Lixos;140;1;140
-9.148290555;38.70754014;482;R Dom Luís I;483;Lixos;1100;4;4400
-9.148290555;38.70754014;483;R Dom Luís I;484;Lixos;120;1;120
-9.148290555;38.70754014;484;R Dom Luís I;485;Lixos;90;1;90
-9.147146202;38.70709969;485;Pc Dom Luís I;482/486;Lixos;240;4;960
-9.148353992;38.71039507;486;Tv Condessa do Rio;487;Lixos;240;3;720
-9.148353992;38.71039507;487;Tv Condessa do Rio;488;Lixos;240;3;720
-9.148353992;38.71039507;488;Tv Condessa do Rio;489;Embalagens;240;1;240
